substance,ec,cas,clp_class,h_code
esters of mecoprop and of mecoprop-P,NA,NA,Skin Sens. 1,H317
esters of mecoprop and of mecoprop-P,NA,NA,Aquatic Acute 1,H400
esters of mecoprop and of mecoprop-P,NA,NA,Aquatic Chronic 1,H410
"trifloxystrobin (ISO); (E,E)-α-methoxyimino-{}{2-[[[[1-[3-(trifluoromethyl)phenyl]ethylidene]amino]oxy]methyl]benzeneacetic acid methyl ester",NA,141517-21-7,Skin Sens. 1,H317
"trifloxystrobin (ISO); (E,E)-α-methoxyimino-{}{2-[[[[1-[3-(trifluoromethyl)phenyl]ethylidene]amino]oxy]methyl]benzeneacetic acid methyl ester",NA,141517-21-7,Aquatic Acute 1,H400
"trifloxystrobin (ISO); (E,E)-α-methoxyimino-{}{2-[[[[1-[3-(trifluoromethyl)phenyl]ethylidene]amino]oxy]methyl]benzeneacetic acid methyl ester",NA,141517-21-7,Aquatic Chronic 1,H410
"metalaxyl (ISO); methyl-N-(2,6-dimethylphenyl)-N-(methoxyacetyl)-DL-alaninate",260-979-7,57837-19-1,Acute Tox. 4 *,H302
"metalaxyl (ISO); methyl-N-(2,6-dimethylphenyl)-N-(methoxyacetyl)-DL-alaninate",260-979-7,57837-19-1,Skin Sens. 1,H317
"metalaxyl (ISO); methyl-N-(2,6-dimethylphenyl)-N-(methoxyacetyl)-DL-alaninate",260-979-7,57837-19-1,Aquatic Chronic 3,H412
"1,2-benzenedicarboxylic acid, dipentylester, branched and linear [1]
n-pentyl-isopentylphthalate [2]
di-n-pentyl phthalate [3]
diisopentylphthalate  [4]
","284-032-2 [1]
205-017-9 [3]
210-088-4 [4]
","84777-06-0 [1]
131-18-0 [3]
605-50-5 [4]
",Repr. 1B,H360FD
"1,2-benzenedicarboxylic acid, dipentylester, branched and linear [1]
n-pentyl-isopentylphthalate [2]
di-n-pentyl phthalate [3]
diisopentylphthalate  [4]
","284-032-2 [1]
205-017-9 [3]
210-088-4 [4]
","84777-06-0 [1]
131-18-0 [3]
605-50-5 [4]
",Aquatic Acute 1,H400
"bromoxynil heptanoate (ISO); 2,6-dibromo-4-cyanophenyl heptanoate",260-300-4,56634-95-8,Repr. 2,H361d ***
"bromoxynil heptanoate (ISO); 2,6-dibromo-4-cyanophenyl heptanoate",260-300-4,56634-95-8,Acute Tox. 4 *,H332
"bromoxynil heptanoate (ISO); 2,6-dibromo-4-cyanophenyl heptanoate",260-300-4,56634-95-8,Acute Tox. 4 *,H302
"bromoxynil heptanoate (ISO); 2,6-dibromo-4-cyanophenyl heptanoate",260-300-4,56634-95-8,Skin Sens. 1,H317
"bromoxynil heptanoate (ISO); 2,6-dibromo-4-cyanophenyl heptanoate",260-300-4,56634-95-8,Aquatic Acute 1,H400
"bromoxynil heptanoate (ISO); 2,6-dibromo-4-cyanophenyl heptanoate",260-300-4,56634-95-8,Aquatic Chronic 1,H410
tetrasodium ethylene diamine tetraacetate,200-573-9,64-02-8,Acute Tox. 4 *,H302
tetrasodium ethylene diamine tetraacetate,200-573-9,64-02-8,Eye Dam. 1,H318
edetic acid; (EDTA),200-449-4,60-00-4,Eye Irrit. 2,H319
BBP; benzyl butyl phthalate,201-622-7,85-68-7,Repr. 1B,H360Df
BBP; benzyl butyl phthalate,201-622-7,85-68-7,Aquatic Acute 1,H400
BBP; benzyl butyl phthalate,201-622-7,85-68-7,Aquatic Chronic 1,H410
"prallethrin (ISO); ETOC; 2-methyl-4-oxo-3-(prop-2-ynyl)cyclopent-2-en-1-yl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate",245-387-9,23031-36-9,Acute Tox. 3 *,H331
"prallethrin (ISO); ETOC; 2-methyl-4-oxo-3-(prop-2-ynyl)cyclopent-2-en-1-yl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate",245-387-9,23031-36-9,Acute Tox. 4 *,H302
"prallethrin (ISO); ETOC; 2-methyl-4-oxo-3-(prop-2-ynyl)cyclopent-2-en-1-yl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate",245-387-9,23031-36-9,Aquatic Acute 1,H400
"prallethrin (ISO); ETOC; 2-methyl-4-oxo-3-(prop-2-ynyl)cyclopent-2-en-1-yl 2,2-dimethyl-3-(2-methylprop-1-enyl)cyclopropanecarboxylate",245-387-9,23031-36-9,Aquatic Chronic 1,H410
"S-metolachlor; reaction mass of (S)-2-chloro-N-(2-ethyl-6-methyl-phenyl)-N-(2-methoxy-1-methyl-ethyl)-acetamide (80-100 %) [1]
(R)-2-chloro-N-(2-ethyl-6-methyl-phenyl)-N-(2-methoxy-1-methyl-ethyl)-acetamide (0-20 %)  [2]
",NA,"87392-12-9 [1]
178961-20-1 [2]
",Skin Sens. 1,H317
"S-metolachlor; reaction mass of (S)-2-chloro-N-(2-ethyl-6-methyl-phenyl)-N-(2-methoxy-1-methyl-ethyl)-acetamide (80-100 %) [1]
(R)-2-chloro-N-(2-ethyl-6-methyl-phenyl)-N-(2-methoxy-1-methyl-ethyl)-acetamide (0-20 %)  [2]
",NA,"87392-12-9 [1]
178961-20-1 [2]
",Aquatic Acute 1,H400
"S-metolachlor; reaction mass of (S)-2-chloro-N-(2-ethyl-6-methyl-phenyl)-N-(2-methoxy-1-methyl-ethyl)-acetamide (80-100 %) [1]
(R)-2-chloro-N-(2-ethyl-6-methyl-phenyl)-N-(2-methoxy-1-methyl-ethyl)-acetamide (0-20 %)  [2]
",NA,"87392-12-9 [1]
178961-20-1 [2]
",Aquatic Chronic 1,H410
"cypermethrin cis/trans +/- 80/20; (RS)-α-cyano-3-phenoxybenzyl (1RS; 3RS; 1RS, 3SR)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",257-842-9,52315-07-8,Acute Tox. 4 *,H302
"cypermethrin cis/trans +/- 80/20; (RS)-α-cyano-3-phenoxybenzyl (1RS; 3RS; 1RS, 3SR)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",257-842-9,52315-07-8,STOT SE 3,H335
"cypermethrin cis/trans +/- 80/20; (RS)-α-cyano-3-phenoxybenzyl (1RS; 3RS; 1RS, 3SR)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",257-842-9,52315-07-8,Skin Irrit. 2,H315
"cypermethrin cis/trans +/- 80/20; (RS)-α-cyano-3-phenoxybenzyl (1RS; 3RS; 1RS, 3SR)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",257-842-9,52315-07-8,Skin Sens. 1,H317
"cypermethrin cis/trans +/- 80/20; (RS)-α-cyano-3-phenoxybenzyl (1RS; 3RS; 1RS, 3SR)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",257-842-9,52315-07-8,Aquatic Acute 1,H400
"cypermethrin cis/trans +/- 80/20; (RS)-α-cyano-3-phenoxybenzyl (1RS; 3RS; 1RS, 3SR)-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",257-842-9,52315-07-8,Aquatic Chronic 1,H410
mecoprop-P [1] and its salts; (R)-2-(4-chloro-2-methylphenoxy)propionic acid,240-539-0,16484-77-8,Acute Tox. 4 *,H302
mecoprop-P [1] and its salts; (R)-2-(4-chloro-2-methylphenoxy)propionic acid,240-539-0,16484-77-8,Eye Dam. 1,H318
mecoprop-P [1] and its salts; (R)-2-(4-chloro-2-methylphenoxy)propionic acid,240-539-0,16484-77-8,Aquatic Chronic 2,H411
"2S-isopropyl-5R-methyl-1R-cyclohexyl 2,2-dihydroxyacetate",416-810-6,111969-64-3,STOT RE 2 *,H373 **
"2S-isopropyl-5R-methyl-1R-cyclohexyl 2,2-dihydroxyacetate",416-810-6,111969-64-3,Eye Dam. 1,H318
"2S-isopropyl-5R-methyl-1R-cyclohexyl 2,2-dihydroxyacetate",416-810-6,111969-64-3,Aquatic Chronic 2,H411
2-hydroxy-3-(2-ethyl-4-methylimidazoyl)propyl neodecanoate,417-350-9,NA,Skin Irrit. 2,H315
2-hydroxy-3-(2-ethyl-4-methylimidazoyl)propyl neodecanoate,417-350-9,NA,Eye Dam. 1,H318
2-hydroxy-3-(2-ethyl-4-methylimidazoyl)propyl neodecanoate,417-350-9,NA,Aquatic Acute 1,H400
2-hydroxy-3-(2-ethyl-4-methylimidazoyl)propyl neodecanoate,417-350-9,NA,Aquatic Chronic 1,H410
3-(4-aminophenyl)-2-cyano-2-propenoic acid,417-480-6,252977-62-1,Skin Sens. 1,H317
methyl-2-[(aminosulfonyl)methyl]benzoate,419-010-5,112941-26-1,Acute Tox. 4 *,H302
methyl-2-[(aminosulfonyl)methyl]benzoate,419-010-5,112941-26-1,Eye Irrit. 2,H319
methyl tetrahydro-2-furancarboxylate,420-670-1,37443-42-8,Eye Dam. 1,H318
methyl 2-aminosulfonyl-6-(trifluoromethyl)pyridine-3-c arboxylate,421-220-7,144740-59-0,Skin Sens. 1,H317
methyl 2-aminosulfonyl-6-(trifluoromethyl)pyridine-3-c arboxylate,421-220-7,144740-59-0,Aquatic Chronic 2,H411
3-[3-(2-dodecyloxy-5-methylphenylcarbamoyl)-4-hydroxy-1-naphthylthio]propionic acid,421-490-6,167684-63-1,Aquatic Chronic 4,H413
benzyl [hydroxy-(4-phenylbutyl)phosphinyl] acetate,416-050-5,87460-09-1,Eye Dam. 1,H318
"reaction mass of: cis-1,4-dimethylcyclohexyl dibenzoate; trans-1,4-dimethylcyclohexyl dibenzoate",416-230-3,35541-81-2,Aquatic Chronic 4,H413
Iron (III) tris(4-methylbenzenesulfonate),420-960-8,77214-82-5,Eye Dam. 1,H318
methyl 2-[4-(2-chloro-4-nitrophenylazo)-3-(1-oxopropyl)amino]phenylaminopropionate,416-240-8,155522-12-6,Skin Sens. 1,H317
methyl 2-[4-(2-chloro-4-nitrophenylazo)-3-(1-oxopropyl)amino]phenylaminopropionate,416-240-8,155522-12-6,Aquatic Chronic 4,H413
sodium 4-[4-(4-hydroxyphenylazo)phenylamino]-3-nitrobenzenesulfonate,416-370-5,156738-27-1,Skin Sens. 1,H317
sodium 4-[4-(4-hydroxyphenylazo)phenylamino]-3-nitrobenzenesulfonate,416-370-5,156738-27-1,Aquatic Chronic 3,H412
"2,3,5,6-tetrafluorobenzoic acid",416-800-1,652-18-6,Skin Irrit. 2,H315
"2,3,5,6-tetrafluorobenzoic acid",416-800-1,652-18-6,Eye Dam. 1,H318
"reaction mass of: 4,4',4''-[(2,4,6-trioxo-1,3,5(2H,4H,6H)-triazine-1,3,5-triyl)tris[methylene(3,5,5-trimethyl-3,1-cyclohexanediyl)iminocarbonyloxy-2,1-ethanediyl(ethyl)amino]]trisbenzenediazoniumtri[bis(2-methylpropyl)naphthalenesulfonate]; 4,4',4'',4'''-[[5,5'-[carbonylbis[imino(1,5,5-trimethyl-3,1-cyclohexanediyl)methylene]]-2,4,6-trioxo-1,3,5(2H,4H,6H)-triazine-1,1',3,3'-tetrayl]tetrakis[methylene(3,5,5-trimethyl-3,1-cyclohexanediyl)iminocarbonyloxy-2,1-ethanediyl(ethyl)amino]]tetrakisbenzenediazoniumtetra[bis(2-methylpropyl)naphthalenesulfonate]",417-080-1,NA,Self-react. D ****,H242
"reaction mass of: 4,4',4''-[(2,4,6-trioxo-1,3,5(2H,4H,6H)-triazine-1,3,5-triyl)tris[methylene(3,5,5-trimethyl-3,1-cyclohexanediyl)iminocarbonyloxy-2,1-ethanediyl(ethyl)amino]]trisbenzenediazoniumtri[bis(2-methylpropyl)naphthalenesulfonate]; 4,4',4'',4'''-[[5,5'-[carbonylbis[imino(1,5,5-trimethyl-3,1-cyclohexanediyl)methylene]]-2,4,6-trioxo-1,3,5(2H,4H,6H)-triazine-1,1',3,3'-tetrayl]tetrakis[methylene(3,5,5-trimethyl-3,1-cyclohexanediyl)iminocarbonyloxy-2,1-ethanediyl(ethyl)amino]]tetrakisbenzenediazoniumtetra[bis(2-methylpropyl)naphthalenesulfonate]",417-080-1,NA,Skin Sens. 1,H317
"reaction mass of: 4,4',4''-[(2,4,6-trioxo-1,3,5(2H,4H,6H)-triazine-1,3,5-triyl)tris[methylene(3,5,5-trimethyl-3,1-cyclohexanediyl)iminocarbonyloxy-2,1-ethanediyl(ethyl)amino]]trisbenzenediazoniumtri[bis(2-methylpropyl)naphthalenesulfonate]; 4,4',4'',4'''-[[5,5'-[carbonylbis[imino(1,5,5-trimethyl-3,1-cyclohexanediyl)methylene]]-2,4,6-trioxo-1,3,5(2H,4H,6H)-triazine-1,1',3,3'-tetrayl]tetrakis[methylene(3,5,5-trimethyl-3,1-cyclohexanediyl)iminocarbonyloxy-2,1-ethanediyl(ethyl)amino]]tetrakisbenzenediazoniumtetra[bis(2-methylpropyl)naphthalenesulfonate]",417-080-1,NA,Aquatic Acute 1,H400
"reaction mass of: 4,4',4''-[(2,4,6-trioxo-1,3,5(2H,4H,6H)-triazine-1,3,5-triyl)tris[methylene(3,5,5-trimethyl-3,1-cyclohexanediyl)iminocarbonyloxy-2,1-ethanediyl(ethyl)amino]]trisbenzenediazoniumtri[bis(2-methylpropyl)naphthalenesulfonate]; 4,4',4'',4'''-[[5,5'-[carbonylbis[imino(1,5,5-trimethyl-3,1-cyclohexanediyl)methylene]]-2,4,6-trioxo-1,3,5(2H,4H,6H)-triazine-1,1',3,3'-tetrayl]tetrakis[methylene(3,5,5-trimethyl-3,1-cyclohexanediyl)iminocarbonyloxy-2,1-ethanediyl(ethyl)amino]]tetrakisbenzenediazoniumtetra[bis(2-methylpropyl)naphthalenesulfonate]",417-080-1,NA,Aquatic Chronic 1,H410
2-mercaptobenzothiazolyl-(Z)-(2-aminothiazol-4-yl)-2-(tert-butoxycarbonyl) isopropoxyiminoacetate,419-040-9,89604-92-2,Aquatic Chronic 4,H413
"4-[4-amino-5-hydroxy-3-(4-(2-sulfoxyethylsulfonyl)phenylazo)-2,7-disulfonapht-6-ylazo]-6-[3-(4-amino-5-hydroxy-3-(4-(2-sulfoxyethylsulfonyl)phenylazo)-2,7-disulfonapht-6-ylazo]phenylcarbonylamino]benzenesulfonic acid, sodium salt",417-640-5,161935-19-9,Eye Dam. 1,H318
"4-[4-amino-5-hydroxy-3-(4-(2-sulfoxyethylsulfonyl)phenylazo)-2,7-disulfonapht-6-ylazo]-6-[3-(4-amino-5-hydroxy-3-(4-(2-sulfoxyethylsulfonyl)phenylazo)-2,7-disulfonapht-6-ylazo]phenylcarbonylamino]benzenesulfonic acid, sodium salt",417-640-5,161935-19-9,Skin Sens. 1,H317
"4-benzyl-2,6-dihydroxy-4-aza-heptylene bis(2,2-dimethyloctanoate)",418-100-1,172964-15-7,Skin Sens. 1,H317
"4-benzyl-2,6-dihydroxy-4-aza-heptylene bis(2,2-dimethyloctanoate)",418-100-1,172964-15-7,Aquatic Chronic 4,H413
"reaction mass of: trans-2-(1-methylethyl)-1,3-dioxane-5-carboxylic acid; cis-2-(1-methylethyl)-1,3-dioxane-5-carboxylic acid",418-170-3,116193-72-7,Eye Dam. 1,H318
"reaction mass of: trans-2-(1-methylethyl)-1,3-dioxane-5-carboxylic acid; cis-2-(1-methylethyl)-1,3-dioxane-5-carboxylic acid",418-170-3,116193-72-7,Aquatic Chronic 3,H412
"1-amino-4-(3-[4-chloro-6-(2,5-di-sulfophenylamino)-1,3,5-triazin-2-ylamino]-2,2-dimethyl-propylamino)-anthraquinone-2-sulfonic acid, sodium/lithiumsalt",419-520-8,172890-93-6,Skin Sens. 1,H317
"3-amino-4-chlorobenzoic acid, hexadecyl ester",419-700-6,143269-74-3,Aquatic Chronic 2,H411
"tetrasodium dihydrogen 1,1''-dihydroxy-8,8''-[p-phenylbis(imino-{}{6-[4-(2-aminoethyl)piperazin-1-yl]}}-1,3,5-triazine-4,2-diyl-imino)]bis(2,2'-azonaphthalene-1',3,6-trisulfonate)",420-350-1,172277-97-3,Eye Dam. 1,H318
"tetrasodium dihydrogen 1,1''-dihydroxy-8,8''-[p-phenylbis(imino-{}{6-[4-(2-aminoethyl)piperazin-1-yl]}}-1,3,5-triazine-4,2-diyl-imino)]bis(2,2'-azonaphthalene-1',3,6-trisulfonate)",420-350-1,172277-97-3,Aquatic Chronic 2,H411
"reaction mass of: 2-ethyl-[2,6-dibromo-4-[1-[3,5-dibromo-4-(2-hydroxyethoxy)phenyl]-1-methylethyl]phenoxy]propenoate; 2,2'-diethyl-[4,4'-bis(2,6-dibromophenoxy)-1-methylethylidene] dipropenoate; 2,2'-[(1-methylethylidene)bis[[2,6-dibromo-4,1-phenylene)oxy]ethanol]]",420-850-1,NA,Aquatic Chronic 2,H411
"isopentyl 4-{}{2-[5-cyano-1,2,3,6-tetrahydro-1-(2-isopropoxyethoxy-carbonylmethyl)-4-methyl-2,6-dioxo-3-pyridylidene]hydrazino}}benzoate",418-930-4,NA,Aquatic Chronic 4,H413
3-tridecyloxy-propyl-ammonium 9-octadecenoate,418-990-1,778577-53-0,STOT RE 2 *,H373 **
3-tridecyloxy-propyl-ammonium 9-octadecenoate,418-990-1,778577-53-0,Skin Irrit. 2,H315
3-tridecyloxy-propyl-ammonium 9-octadecenoate,418-990-1,778577-53-0,Eye Irrit. 2,H319
3-tridecyloxy-propyl-ammonium 9-octadecenoate,418-990-1,778577-53-0,Aquatic Acute 1,H400
3-tridecyloxy-propyl-ammonium 9-octadecenoate,418-990-1,778577-53-0,Aquatic Chronic 1,H410
"reaction mass of: pentasodium 2-{}{4-{}{3-methyl-4-[6-sulfonato-4-(2-sulfonato-phenylazo)-naphthalen-1-ylazo]-phenylamino}}-6-[3-(2-sulfato-ethanesulfonyl)-phenylamino]-1,3,5-triazin-2-ylamino}}-benzene-1,4-disulfonate; pentasodium 2-{}{4-{}{3-methyl-4-[7-sulfonato-4-(2-sulfonato-phenylazo)-naphthalen-1-ylazo]-phenylamino}}-6-[3-(2-sulfato-ethanesulfonyl)-phenylamino]-1,3,5-triazin-2-ylamino}}-benzene-1,4-disulfonate",421-160-1,NA,Aquatic Chronic 3,H412
reaction mass of: 1-hexyl acetate; 2-methyl-1-pentyl acetate; 3-methyl-1-pentyl acetate; 4-methyl-1-pentyl acetate; other mixed linear and branched C6-alkyl acetates,421-230-1,88230-35-7,Aquatic Chronic 2,H411
3-(phenothiazin-10-yl)propionic acid,421-260-5,362-03-8,Aquatic Chronic 2,H411
"reaction mass of: 7-chloro-1-ethyl-6-fluoro-1,4-dihydro-4-oxo-quinoline-3-carboxylic acid; 5-chloro-1-ethyl-6-fluoro-1,4-dihydro-4-oxo-quinoline-3-carboxylic acid",421-280-4,NA,Aquatic Chronic 3,H412
"tris(2-hydroxyethyl)ammonium 7-{}{4-[4-(2-cyanoamino-4-hydroxy-6-oxidopyrimidin-5-ylazo)benzamido]-2-ethoxy-phenylazo}}naphthalene-1,3-disulfonate",421-440-3,778583-04-3,Aquatic Chronic 3,H412
"reaction mass of: phenyl 1-(1-[2-chloro-5-(hexadecyloxycarbonyl)phenylcarbamoyl]-3,3-dimethyl-2-oxobutyl)-1H-2,3,3a,7a-tetrahydrobenzotriazole-5-carboxylate; phenyl 2-(1-(2-chloro-5-(hexadecyloxycarbonyl)phenylcarbamoyl)-3,3-dimethyl-2-oxobutyl)-1H-2,3,3a,7a-tetrahydrobenzotriazole-5-carboxylate; phenyl 3-(1-(2-chloro-5-(hexadecyloxycarbonyl)phenylcarbamoyl)-3,3-dimethyl-2-oxobutyl)-1H-2,3,3a,7a-tetrahydrobenzotriazole-5-carboxylate",421-480-1,NA,Aquatic Chronic 2,H411
"1,1,3,3-tetrabutyl-1,3-ditinoxydicaprylate",419-430-9,56533-00-7,Acute Tox. 4 *,H312
"1,1,3,3-tetrabutyl-1,3-ditinoxydicaprylate",419-430-9,56533-00-7,Acute Tox. 4 *,H302
"1,1,3,3-tetrabutyl-1,3-ditinoxydicaprylate",419-430-9,56533-00-7,STOT RE 2 *,H373 **
"1,1,3,3-tetrabutyl-1,3-ditinoxydicaprylate",419-430-9,56533-00-7,Skin Corr. 1B,H314
"1,1,3,3-tetrabutyl-1,3-ditinoxydicaprylate",419-430-9,56533-00-7,Aquatic Acute 1,H400
"1,1,3,3-tetrabutyl-1,3-ditinoxydicaprylate",419-430-9,56533-00-7,Aquatic Chronic 1,H410
"reaction mass of: monosodium 4-((4-(5-sulfonato-2-methoxyphenylamino)-6-chloro-1,3,5-triazine-2-yl)amino)-2-((1,4-dimethyl-6-oxido-2-oxo-5-sulfonatomethyl-1,2-dihydropyridine-3-yl)azo)benzenesulfonate; disodium 4-((4-(5-sulfonato-2-methoxyphenylamino)-6-chloro-1,3,5-triazine-2-yl)amino)-2-((1,4-dimethyl-6-oxido-2-oxo-5-sulfonatomethyl-1,2-dihydropyridine-3-yl)azo)benzenesulfonate; trisodium 4-((4-(5-sulfonato-2-methoxyphenylamino)-6-chloro-1,3,5-triazine-2-yl)amino)-2-((1,4-dimethyl-6-oxido-2-oxo-5-sulfonatomethyl-1,2-dihydropyridine-3-yl)azo)benzenesulfonate; tetrasodium 4-((4-(5-sulfonato-2-methoxyphenylamino)-6-chloro-1,3,5-triazine-2-yl)amino)-2-((1,4-dimethyl-6-oxido-2-oxo-5-sulfonatomethyl-1,2-dihydropyridine-3-yl)azo)benzenesulfonate",419-450-8,NA,Skin Sens. 1,H317
"disodium 7-((4,6-bis(3-diethylaminopropylamino)-1,3,5-triazine-2-yl)amino)-4-hydroxy-3-(4-(4-sulfonatophenylazo)phenylazo)-2-naphthalene sulfonate",419-460-2,120029-06-3,Aquatic Chronic 3,H412
"potassium sodium 6,13-dichloro-3,10-bis{}{2-[4-[3-(2-hydroxysulphonyloxyethanesulfonyl)phenylamino]-6-(2,5-disulfonatophenylamino)-1,3,5-triazin-2-ylamino]ethylamino}}benzo[5,6][1,4]oxazino[2,3-b]phenoxazine-4,11-disulfonate",414-100-0,154336-20-6,Eye Dam. 1,H318
"potassium sodium 6,13-dichloro-3,10-bis{}{2-[4-[3-(2-hydroxysulphonyloxyethanesulfonyl)phenylamino]-6-(2,5-disulfonatophenylamino)-1,3,5-triazin-2-ylamino]ethylamino}}benzo[5,6][1,4]oxazino[2,3-b]phenoxazine-4,11-disulfonate",414-100-0,154336-20-6,Aquatic Chronic 3,H412
"1,6-bis((dibenzylthiocarbamoyl)disulfanyl)hexane",429-280-6,151900-44-6,Aquatic Chronic 4,H413
"pentaerythritol, dipentaerythritol, fatty acids, C6-10, mixed esters with adipic acid, heptanoic acid and isostearic acid",426-590-3,187412-41-5,Skin Sens. 1,H317
(4-(4-(4-dimethylaminobenzyliden-1-yl)-3-methyl-5-oxo-2-pyrazolin-1-yl)benzoic acid,410-430-4,117573-89-4,Aquatic Chronic 4,H413
"reaction mass of: tetrasodium 7-(4-[4-chloro-6-[methyl-(3-sulfonatophenyl)amino]-1,3,5-triazin-2-ylamino]-2-ureidophenylazo)naphthalene-1,3,6-trisulfonate; tetrasodium 7-(4-[4-chloro-6-[methyl-(4-sulfonatophenyl)amino]-1,3,5-triazin-2-ylamino]-2-ureidophenylazo)naphthalene-1,3,6-trisulfonate (1:1)",412-940-2,148878-18-6,Skin Sens. 1,H317
"trisodium N,N-bis(carboxymethyl)-β-alanine",414-070-9,129050-62-0,Skin Corr. 1B,H314
"trisodium N,N-bis(carboxymethyl)-β-alanine",414-070-9,129050-62-0,Aquatic Chronic 3,H412
(1α5α6α)-6-nitro-3-benzyl-3-azabicyclo[3.1.0]hexane methanesulfonate salt,426-740-8,-,Acute Tox. 4 *,H302
(1α5α6α)-6-nitro-3-benzyl-3-azabicyclo[3.1.0]hexane methanesulfonate salt,426-740-8,-,Eye Dam. 1,H318
(1α5α6α)-6-nitro-3-benzyl-3-azabicyclo[3.1.0]hexane methanesulfonate salt,426-740-8,-,Aquatic Chronic 2,H411
tetramethylammonium hydrogen phthalate,416-900-5,79723-02-7,Acute Tox. 3 *,H301
tetramethylammonium hydrogen phthalate,416-900-5,79723-02-7,STOT RE 2 *,H373 **
tetramethylammonium hydrogen phthalate,416-900-5,79723-02-7,Aquatic Acute 1,H400
"hexadecyl 4-chloro-3-[2-(5,5-dimethyl-2,4-dioxo-1,3-oxazolidin-3-yl)-4,4-dimethyl-3-oxopentamido]benzoate",418-550-9,168689-49-4,Aquatic Chronic 4,H413
"1,2-benzenedicarboxylic acid; di-C7-11-branched and linear alkylesters",271-084-6,68515-42-4,Repr. 1B,H360Df
reaction mass of: trihexyl citrate; dihexyloctyl citrate; dioctylhexyl citrate; dihexyldecyl citrate,430-290-8,-,Aquatic Chronic 4,H413
N-[1-(S)-ethoxycarbonyl-3-phenylpropyl]-.sc.l.sc.-alanyl-N-carboxyanhydride,430-360-8,84793-24-8,Eye Dam. 1,H318
N-[1-(S)-ethoxycarbonyl-3-phenylpropyl]-.sc.l.sc.-alanyl-N-carboxyanhydride,430-360-8,84793-24-8,Skin Sens. 1,H317
"1,2-benzenedicarboxylic acid; di-C6-8-branched alkylesters, C7-rich",276-158-1,71888-89-6,Repr. 1B,H360D ***
"ethyl 2-{[3-acetylamino-4-(6-bromo-2-methyl-1,3-dioxo-2,3-dihydro-1H-isoindol-5-ylazo)phenyl]ethylamino}propionate",430-480-0,221452-67-1,Aquatic Chronic 4,H413
"(3S-trans)-phenyl-3-[(1,3-benzodioxol-5-yloxy)methyl]-4-(4-fluorophenyl)-1-piperidinecarboxylate",430-510-2,-,Aquatic Chronic 4,H413
"potassium sodium 5'-(6-chloro-4-(2-(2-vinylsulfonylethoxy)ethylamino)-1,3,5-triazin-2-ylamino)-4'-hydroxy-2,3'-azodinaphthalene-1,2',5,7'-disulfonate",402-110-8,110081-40-8,Aquatic Chronic 3,H412
"reaction mass of: disodium 4-(3-ethoxycarbonyl-4-(5-(3-ethoxycarbonyl-5-hydroxy-1-(4-sulfonatophenyl)pyrazol-4-yl)penta-2,4-dienylidene)-4,5-dihydro-5-oxopyrazol-1-yl)benzenesulfonate; trisodium 4-(3-ethoxycarbonyl-4-(5-(3-ethoxycarbonyl-5-oxido-1-(4-sulfonatophenyl)pyrazol-4-yl)penta-2,4-dienylidene)-4,5-dihydro-5-oxopyrazol-1-yl)benzenesulfonate",402-660-9,NA,Repr. 1B,H360D ***
"reaction mass of: disodium 4-(3-ethoxycarbonyl-4-(5-(3-ethoxycarbonyl-5-hydroxy-1-(4-sulfonatophenyl)pyrazol-4-yl)penta-2,4-dienylidene)-4,5-dihydro-5-oxopyrazol-1-yl)benzenesulfonate; trisodium 4-(3-ethoxycarbonyl-4-(5-(3-ethoxycarbonyl-5-oxido-1-(4-sulfonatophenyl)pyrazol-4-yl)penta-2,4-dienylidene)-4,5-dihydro-5-oxopyrazol-1-yl)benzenesulfonate",402-660-9,NA,Aquatic Chronic 3,H412
ethyl (2-acetylamino-5-fluoro-4-isothiocyanatophenoxy)acetate,414-210-9,147379-38-2,Aquatic Acute 1,H400
ethyl (2-acetylamino-5-fluoro-4-isothiocyanatophenoxy)acetate,414-210-9,147379-38-2,Aquatic Chronic 1,H410
"reaction mass of: 2-ethylhexyl linolenate, linoleate and oleate; 2-ethylhexyl epoxyoleate; 2-ethylhexyl diepoxylinoleate; 2-ethylhexyl triepoxylinolenate",414-890-7,71302-79-9,Skin Sens. 1,H317
N-[2-hydroxy-3-(C12-16-alkyloxy)propyl]-N-methyl glycinate,415-060-7,NA,Eye Dam. 1,H318
N-[2-hydroxy-3-(C12-16-alkyloxy)propyl]-N-methyl glycinate,415-060-7,NA,Skin Sens. 1,H317
